Date,SITE NAME,STATE,DAILY_AQI_VALUE,SITE_LATITUDE,SITE_LONGITUDE
1/2/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
1/3/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
1/4/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
1/5/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
1/6/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
1/7/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
1/8/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
1/9/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
1/10/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
1/11/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
1/12/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
1/13/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
1/14/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
1/15/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
1/16/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
1/17/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
1/18/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
1/19/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
1/20/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
1/21/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
1/22/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
1/23/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
1/24/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
1/25/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
1/26/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
1/27/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
1/28/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
1/29/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
1/30/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
1/31/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
2/1/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
2/2/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
2/3/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
2/4/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
2/5/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
2/6/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
2/7/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
2/8/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
2/9/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
2/10/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
2/11/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
2/12/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
2/13/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
2/14/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
